Leaked composite object at 0x5621464cfef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x5621464d0ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x5621464d0f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x5621464d0f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x5621464cff20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x5621464cff50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x5621464cff80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x5621464cffb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x5621464cffe0 (tests/leak_test.c:12, sz=4, NORMAL)

